fecha,plan,sede,dpto,ciudad,vendedor,cantidad
20121011,321,4,3,1,4328,1
20121017,321,4,1,74,5311,1
20121023,321,4,6,3,5351,1
20121020,321,4,3,1,3476,2
20121102,321,4,3,4,3476,1
20121106,321,4,3,1,1338,1
20121106,321,4,3,2,3346,1
20121106,321,4,3,2,1371,1
20121109,321,4,3,2,5413,1
20120718,321,4,1,61,5347,1
20121114,321,4,3,1,5311,2
20121115,321,4,3,5,5347,2
20121116,321,4,3,2,5387,1
20121114,321,4,3,1,5347,1
20121119,321,4,3,5,3346,2
20121122,321,4,3,5,3346,1
20121201,321,4,3,1,3346,1
20120123,143,4,3,2,3476,1
20120114,143,4,1,74,3476,1
20120125,143,4,3,1,3725,2
20120201,143,4,3,1,3725,1
20120217,143,4,3,1,5319,2
20120221,143,4,3,1,5310,1
20120306,143,4,3,1,5320,2
20120309,143,4,3,1,5327,2
20120315,143,4,3,1,3725,1
20120330,143,4,3,3,5320,1
20120525,143,4,1,80,3725,1
20120529,143,4,3,2,3476,1
20120614,143,4,3,1,3725,1
20120202,144,4,3,1,3725,3
20120307,144,4,3,2,5328,1
20120314,144,4,3,1,5327,1
20120316,144,4,3,1,5327,1
20120401,144,4,3,1,5327,1
20120402,144,4,3,1,5327,1
20120403,144,4,3,1,5332,1
20120508,144,4,1,74,3725,1
20120507,144,4,1,74,5350,1
20120518,144,4,3,1,3725,1
20120529,144,4,1,74,3725,2
20120603,144,4,1,74,3725,1
20120111,321,4,3,1,3346,1
20120113,321,4,3,2,4328,1
20120112,321,4,3,2,4573,1
20120117,321,4,3,1,302,1
20120123,321,4,3,2,4577,1
20120118,321,4,3,2,4582,1
20120118,321,4,3,2,4328,1
20120119,321,4,3,2,5311,1
20120203,321,4,3,1,4596,2
20120206,321,4,3,1,302,1
20120209,321,4,3,1,4589,1
20120211,321,4,1,74,4328,2
20120207,321,4,3,2,4582,1
20120210,321,4,3,1,5315,1
20120209,321,4,3,1,1371,2
20120214,321,4,3,2,1371,1
20120215,321,4,3,1,4596,1
20120218,321,4,3,1,4583,1
20120223,321,4,3,2,3346,1
20120220,321,4,3,1,5331,1
20120224,321,4,3,1,4582,2
20120222,321,4,3,1,1371,1
20120223,321,4,3,1,4539,1
20120225,321,4,3,1,4577,1
20120302,321,4,3,2,1371,1
20120301,321,4,3,2,5311,1
20120228,321,4,3,1,4573,1
20120306,321,4,3,1,5331,1
20120308,321,4,3,1,5325,1
20120310,321,4,3,2,4328,1
20120309,321,4,3,1,4328,2
20120316,321,4,3,1,302,1
20120317,321,4,1,74,1371,1
20120317,321,4,3,1,1371,2
20120319,321,4,3,1,5317,1
20120331,321,4,3,1,4328,1
20120329,321,4,3,1,4328,1
20120326,321,4,3,1,4328,1
20120329,321,4,3,2,5311,1
20120328,321,4,3,1,4589,1
20120329,321,4,3,1,5325,1
20120403,321,4,3,1,1371,4
20120401,321,4,3,1,1371,1
20120411,321,4,3,3,4589,1
20120413,321,4,3,1,1371,3
20120417,321,4,3,1,4589,2
20120424,321,4,3,1,4328,2
20120426,321,4,3,1,5342,1
20120424,321,4,3,1,4596,1
20120427,321,4,3,1,5341,1
20120430,321,4,3,1,1371,4
20120425,321,4,3,1,5325,1
20120504,321,4,3,1,302,1
20120506,321,4,3,3,5311,1
20120507,321,4,3,3,4328,2
20120507,321,4,3,2,5344,1
20120511,321,4,3,2,5344,1
20120525,321,4,3,1,5343,3
20120522,321,4,3,2,5331,1
20120526,321,4,3,1,1371,2
20120522,321,4,3,1,1371,1
20120603,321,4,3,1,5346,1
20120531,321,4,3,1,5351,1
20120530,321,4,3,1,5356,3
20120602,321,4,3,1,5347,2
20120605,321,4,3,1,302,1
20120605,321,4,3,1,4328,1
20120610,321,4,3,1,4328,1
20120604,321,4,3,1,4328,1
20120607,321,4,3,1,5351,1
20120609,321,4,3,1,5330,2
20120609,321,4,3,1,1371,2
20120612,321,4,3,1,4328,2
20120619,321,4,3,1,5347,1
20120619,321,4,3,1,5357,1
20120630,321,4,3,1,3476,2
20120627,321,4,3,1,3476,1
20120705,321,4,3,1,302,1
20120705,321,4,3,2,3346,1
20120712,321,4,3,1,3346,1
20120711,321,4,3,1,1371,1
20120709,321,4,3,1,5351,1
20120709,321,4,3,1,5311,1
20120710,321,4,3,1,5330,1
20120718,321,4,3,1,4328,2
20120716,321,4,3,2,3476,1
20120718,321,4,1,74,5311,1
20120717,321,4,1,61,5380,1
20120725,321,4,3,1,5360,2
20120724,321,4,3,1,1371,1
20120727,321,4,1,61,5381,1
20120803,321,4,3,1,5387,1
20120731,321,4,3,1,4328,1
20120803,321,4,3,2,3476,1
20120812,321,4,3,1,5365,2
20120811,321,4,3,2,5361,1
20120808,321,4,3,1,1371,1
20120809,321,4,1,61,5311,1
20120811,321,4,3,1,1371,1
20120815,321,4,3,2,3346,1
20120814,321,4,3,1,1371,1
20120816,321,4,3,1,5361,1
20120816,321,4,1,74,5379,2
20120816,321,4,1,74,5382,1
20120821,321,4,1,74,3346,1
20120825,321,4,1,74,3476,1
20120824,321,4,3,1,5360,1
20120820,321,4,3,1,5351,1
20120823,321,4,6,3,5361,3
20120825,321,4,1,74,5378,1
20120831,321,4,6,3,4328,1
20120828,321,4,3,2,3476,1
20120828,321,4,6,3,5361,2
20120831,321,4,3,4,5347,1
20120907,321,4,3,1,3346,1
20120906,321,4,3,1,5351,1
20120907,321,4,3,1,5392,1
20120904,321,4,3,1,4328,1
20120918,321,4,3,1,4328,1
20120920,321,4,3,1,3346,1
20120928,321,4,3,1,5347,1
20120924,321,4,3,1,1371,1
20121005,321,4,3,2,5351,1
20121003,321,4,3,2,3476,1
20121005,321,4,3,1,5347,2
20121001,321,4,3,1,3346,1
20121003,321,4,3,2,3346,1
20121004,321,4,3,2,4328,3
20121004,321,4,3,1,1371,1
20121005,321,4,3,1,5396,2
20121003,321,4,1,74,5400,1
20121005,321,4,3,2,5396,1
20121010,321,4,3,1,4594,1
20121013,321,4,3,2,4328,1
20121009,321,4,3,11,5351,1
20121013,321,4,3,2,1371,1
20121017,321,4,3,2,5311,1
20121016,321,4,3,2,5409,1
20121019,321,4,3,2,3476,2
20121024,321,4,3,1,302,1
20121022,321,4,3,2,5347,1
20121024,321,4,3,2,1371,1
20121026,321,4,3,1,5391,1
20121103,321,4,3,2,1371,3
20121030,321,4,3,2,5402,1
20121101,321,4,3,2,5412,1
20121109,321,4,3,2,5347,5
20121109,321,4,3,2,5402,1
20121115,321,4,3,1,4328,1
20121114,321,4,3,1,5402,1
20121113,321,4,3,1,3476,1
20121123,321,4,3,5,4328,2
20121122,321,4,3,1,3476,1
20121129,321,4,3,1,3476,2
20121127,321,4,3,2,5387,1
20121129,321,4,3,2,5387,1
20121202,321,4,3,1,5402,1
20121213,321,4,3,2,5311,1
