depto,ciudad,fecha,,vendedor,cantidad
1,67,20150708,6,1046,1
1,67,20151103,6,4051,7
1,67,20150914,6,1161,1
1,67,20150427,5,4051,1
1,67,20150717,6,4051,3
1,67,20150729,6,1023,3
1,67,20151214,6,4051,8
1,67,20150620,6,4051,3
1,67,20150814,6,1888,1
1,67,20150423,5,4056,1
1,67,20150423,6,1711,1
1,67,20150414,5,4075,1
1,67,20150722,6,1736,1
1,67,20160114,6,1066,2
1,67,20160220,6,4266,1
1,67,20151214,6,1030,1
1,67,20170112,6,4051,1
1,67,20160217,6,4220,1
1,67,20160523,6,1874,1
1,67,20160408,6,4051,4
1,67,20151023,6,1678,1
1,67,20151026,5,4051,4
1,67,20160608,5,1013,1
1,67,20151110,6,4051,1
1,67,20150120,6,1828,2
1,67,20160212,6,1839,1
1,67,20160715,6,1296,1
1,67,20161004,6,1819,1
1,67,20161020,6,1671,1
1,67,20160402,6,1240,1
1,67,20160627,6,1279,3
1,67,20160816,5,1812,1
1,67,20160928,6,4071,1
1,67,20160714,5,1819,1
1,67,20170627,6,4069,1
1,67,20180131,6,1076,1
1,67,20171009,6,1179,1
1,67,20171103,6,1179,1
1,67,20170621,6,1888,2
1,67,20180209,6,3014,1
1,67,20180202,6,1047,2
1,67,20170103,6,4051,5
1,67,20161010,6,1030,2
1,67,20171128,6,3511,1
1,67,20170105,6,8211,1
1,67,20170727,6,1027,2
1,67,20171101,6,1179,1
1,67,20171101,6,1002,1
1,67,20171213,5,7223,1
1,67,20180103,6,1812,1
1,67,20170923,6,1812,1
1,67,20171220,5,4051,3
1,67,20170925,6,4051,3
1,67,20171222,6,1118,1
1,67,20170904,6,4003,2
1,67,20180221,6,4051,3
1,67,20180122,6,1888,2
1,67,20171226,6,7219,1
1,67,20180226,5,1985,1
1,67,20171117,5,1963,2
1,67,20171201,5,4051,3
1,67,20180127,6,1279,4
1,67,20170403,1,1888,1
1,88,20121115,6,1066,1
1,88,20140703,6,1030,1
1,88,20141129,6,1839,1
1,88,20150307,6,4056,2
1,67,20121107,6,1161,2
1,67,20120809,6,1851,1
1,67,20121106,6,1985,2
1,67,20130118,6,1022,1
1,67,20130318,6,4068,1
1,67,20130510,6,1963,2
1,67,20130522,5,1022,1
1,67,20141202,6,1161,1
1,67,20150427,5,4075,1
1,67,20150320,6,1684,2
1,67,20160225,5,4051,2
1,67,20151021,6,1963,2
1,67,20150326,6,1916,2
1,67,20150716,5,4051,1
1,67,20150605,5,1023,1
1,67,20151026,5,1027,1
1,67,20150603,5,1812,1
1,67,20160502,5,1711,1
1,67,20160812,5,1279,1
1,67,20161025,6,1002,1
1,67,20151103,6,1023,1
1,67,20170322,6,4003,1
1,67,20160518,6,1279,1
1,67,20171129,6,1022,1
1,67,20170914,5,4051,3
1,67,20161216,6,1769,1
1,67,20170912,5,8207,1
1,67,20171110,6,7185,2
1,67,20171211,6,4080,1
1,67,20171219,6,4051,3
1,67,,6,1161,1
1,67,20130129,5,4063,1
1,67,20130408,5,1023,2
1,67,20130506,5,4063,1
1,67,20130308,5,1023,1
1,67,20130307,6,1023,1
1,67,20130424,6,1025,1
1,67,20130412,6,1760,2
1,67,20140203,6,1118,1
1,67,20131106,6,1135,1
1,67,20140312,5,1736,1
1,67,20150619,5,4003,1
1,67,20150408,5,1954,1
1,67,20150416,6,1022,1
1,67,20150224,6,1678,2
1,67,20150818,5,4051,4
1,67,20150630,6,1916,1
1,67,20151026,5,1077,1
1,67,20160109,5,1161,1
1,67,20160507,6,8221,1
1,67,20151204,6,1223,1
1,67,20170311,6,4051,3
1,67,20160706,5,1046,2
1,67,20160826,5,1030,1
1,67,20121121,6,1030,1
1,67,20121116,6,1118,1
1,67,20120705,6,1712,1
1,67,20130225,6,1724,1
1,67,20130522,6,1002,1
1,67,20130206,6,1022,1
1,67,20130320,6,4071,1
1,67,20121019,6,1076,1
1,67,20121116,6,4066,1
1,67,20130423,6,989,1
1,67,20130813,6,1022,1
1,67,20130715,6,1812,1
1,67,20130417,6,1192,1
1,67,20130321,6,1964,1
1,67,20130606,6,1046,1
1,67,20130806,5,1723,1
1,67,20130626,5,1002,1
1,67,20130529,6,1046,1
1,67,20140221,5,1013,1
1,67,20130611,5,4043,1
1,67,20140408,6,1712,1
1,67,20130926,6,1667,1
1,67,20140609,6,1908,1
1,67,20140401,6,1173,1
1,67,20140123,6,1076,1
1,67,20140714,6,1161,1
1,67,20140528,5,1756,1
1,67,20140308,6,1963,2
1,67,20150416,6,3069,1
1,67,20140815,6,1022,2
1,67,20150611,6,4148,1
1,67,20140825,6,1013,2
1,67,20150314,6,1027,1
1,67,20141217,6,439,1
1,67,20140806,5,1002,1
1,67,20150901,6,4051,2
1,67,20150711,6,4271,1
1,67,20150427,5,1025,1
1,67,20150522,5,1013,1
1,67,20150722,5,4065,1
1,67,20150513,6,1812,1
1,67,20150430,6,4051,6
1,67,20150115,6,1797,1
1,67,20150722,5,4003,1
1,67,20151016,6,1985,5
1,67,20151026,6,4051,3
1,67,20150420,6,1161,2
1,67,20151015,5,1828,1
1,67,20150420,5,4051,1
1,67,20150528,6,1916,1
1,67,20150603,6,1812,2
1,67,20151119,6,4051,3
1,67,20150611,5,439,1
1,67,20160222,6,4443,1
1,67,20160208,6,1013,1
1,67,20160617,6,1963,1
1,67,20160616,6,1002,1
1,67,20151028,6,4123,1
1,67,20150925,6,1684,1
1,67,20160114,6,1819,1
1,67,20160105,6,4051,7
1,67,20160926,5,4051,2
1,67,20160216,6,4088,1
1,67,20160224,6,3511,1
