4;5;;4;2000;2
4;5;;3;2000;1
4;1;;3;2000;3
4;2;;6;2000;1
4;3;;6;2000;1
4;4;;6;2000;1
4;1;;6;2000;4
4;1;;10;2000;1
4;1;;12;2000;1
4;3;;6;2000;1
4;5;;4;2001;1
4;1;;4;2001;1
1;78;;3;2001;1
4;5;;3;2001;1
4;8;;6;2001;1
4;1;;6;2001;2
4;4;;6;2001;1
4;7;;5;2001;1
4;2;;5;2001;1
4;1;;8;2001;1
4;1;;7;2001;1
4;1;;4;2002;1
4;5;;4;2002;1
4;2;;6;2002;1
4;4;;6;2002;2
4;6;;5;2002;1
4;1;;5;2002;2
4;1;;9;2002;2
4;7;;6;2003;1
4;1;;6;2003;1
4;5;;4;2006;1
4;8;;3;2006;1
4;1;;8;2006;1
4;1;;2;2010;1
4;5;;4;2010;1
4;2;;6;2010;1
4;1;;6;2013;1
4;1;;7;2013;1
4;2;;5;2014;1
4;1;;6;2015;1
4;7;;5;2015;1
4;1;;6;2018;1
4;1;;10;2019;1
4;8;;4;2020;1
4;1;;4;2020;1
4;3;;6;2023;1
4;4;;6;2023;1
4;5;;3;2025;1
4;1;;6;2026;1
4;1;;6;2029;1
4;1;;7;2029;1
4;1;;4;2031;1
4;2;;6;2041;1
1;78;;5;2041;1
4;1;;6;2052;1
4;3;;6;2061;1
4;1;;8;2062;1
4;1;;12;2064;1
4;1;;4;2073;1
4;1;;8;2073;1
4;1;;5;2078;1
4;4;;6;2090;1
4;1;;6;2091;1
4;2;;6;2091;1
4;1;;7;2091;1
4;1;;6;2097;1
4;1;;8;2103;1
4;1;;4;2119;1
4;1;;10;2119;1
4;1;;4;2126;1
4;1;;8;2133;2
4;1;;4;2138;1
4;1;;4;2146;1
4;1;;10;2146;1
1;78;;3;2151;1
4;1;;3;2164;1
4;4;;3;2166;1
4;1;;6;2167;1
4;6;;6;2170;1
4;1;;4;2171;1
4;2;;5;2171;1
4;1;;6;2172;1
4;1;;5;2172;1
4;1;;8;2172;1
4;1;;7;2172;1
4;1;;8;2176;1
4;1;;5;2186;1
4;1;;6;2208;1
4;4;;4;2212;2
4;2;;6;2212;1
4;1;;6;2212;2
4;6;;6;2212;1
4;1;;5;2212;2
