22,KM 30,1
91,ALCALA,1
42,AMAIME,1
71,ANDALUCIA,1
61,ANSERMA NUEVO,1
85,BOLIVAR,1
30,BOLO,1
95,BUCHITOLO,1
26,BUENAVENTURA,1
41,BUGA,1
70,BUGALAGRANDE,1
78,CAICEDONIA,1
53,CALI,1
46,CANDELARIA,1
74,CARTAGO,1
44,COSTA RICA,1
47,DAGUA,1
24,DAPA,1
55,DARIEN,1
99,EL AGUILA,1
57,EL CABUYAL,1
56,EL CARMELO,1
98,EL CARMEN,1
52,EL CERRITO,1
88,EL DOVIO,1
97,EL PALMAR,1
93,EL TREINTA,1
96,EL VINCULO,1
45,FLORIDA,1
51,GINEBRA,1
62,GUABITAS,1
58,GUACARI,1
63,JAMUNDI,1
32,LA BUITRERA,1
84,LA CUMBRE,1
35,LA HERRADURA,1
66,LA MARINA,1
79,LA PAILA,1
25,LA QUISQUINA,1
76,LA UNION,1
90,LA URIBE,1
82,LA VICTORIA,1
29,LOS CHANCOS,1
94,MEDIA CANOA,1
80,OBANDO,1
38,ORTIGAL,1
37,PALMASECA,1
40,PALMIRA,1
33,POTRERILLO,1
43,PRADERA,1
92,PRESIDENTE,1
49,RESTREPO,1
69,RIO FRIO,1
77,ROLDANILLO,1
81,ROZO,1
83,SALONICA,1
54,SAN ANTONIO DE LOS C,1
59,SAN JUAQUIN,1
64,SAN PEDRO,1
39,SANTA ELENA,1
87,SEVILLA,1
60,SONSO,1
31,TABLONES,1
36,TENERIFE,1
34,TIENDA NUEVA,1
28,TODOS LOS SANTOS,1
86,TORO,1
73,TRUJILLO,1
67,TULUA,1
27,TUMACO NARINIO,1
65,ULLOA,1
89,VERSALLES,1
72,VIJES,1
48,VILLAGORGONA,1
68,YOTOCO,1
50,YUMBO,1
23,ZARAGOZA,1
75,ZARZAL,1
28,BUENOS AIRES,2
17,CAJIBIO,2
16,CALDONO,2
33,CALOTO,2
31,CORINTO,2
23,GUACHENE,2
24,GUAPI,2
30,MIRANDA,2
15,MONDOMO,2
14,MORALES,2
32,PADILLA,2
10,PESCADOR,2
12,PIENDAMO,2
1,POPAYAN,2
21,PUERTO TEJADA,2
65,SANTANDER Q,2
13,SILVIA,2
29,SUAREZ,2
20,TIMBIQUI,2
19,TORIBIO,2
18,TOTORO,2
11,TUNIA,2
22,VILLA RICA,2
7,ALTAGRACIA,3
6,ARMENIA,3
9,CHINCHINA,3
2,DOS QUEBRADAS,3
8,LA FLORIDA,3
4,LA VIRGINIA,3
5,MARSELLA,3
1,PEREIRA,3
3,SANTA ROSA,3
10,SANTUARIO,3
1,ARMENIA,4
9,BARCELONA,4
13,BUENAVISTA,4
5,CALARCA,4
6,CIRCASIA,4
10,CORDOBA,4
8,FILANDIA,4
11,GENOVA,4
4,MONTENEGRO,4
12,PIJAO,4
2,QUIMBAYA,4
7,SALENTO,4
3,LA TEBAIDA,4
3,EL CHARCO,5
4,IPIALES,5
1,PASTO,5
2,TUMACO,5
1,MANIZALES,6
2,CHINCHINA,6
3,VITERBO,6
4,RIOSUCIO,6
5,ANSERMA,6
6,SALAMINA,6
20,ARGELIA,1
1,JURADO,7
1,BOGOTA,8
1,VILLAVICENCIO,14
1,NEIVA,13
1,BUCARAMANGA,12
1,BARRANQUILLA,11
1,IBAGUE,10
1,MEDELLIN,9
