depto,ciudad,fecha,demografia,vendedor,cantidad
3,1,20171214,4,763,1
3,2,20160518,4,801,1
3,1,20160713,4,801,1
3,1,20160428,6,801,1
1,53,20160630,6,857,1
3,1,20161021,3,858,1
3,1,20160706,4,858,1
3,1,20160302,4,858,1
3,1,20161019,4,858,1
1,53,20170726,6,858,2
1,53,20160607,6,858,1
1,53,20161006,6,858,1
1,53,20171206,6,858,1
1,53,20170717,6,858,2
1,61,20170906,1,876,1
1,61,20170828,1,876,1
1,61,20170801,1,876,1
3,1,20170404,4,876,1
1,61,,2,1300,1
1,61,20120821,2,1300,1
3,1,20120313,2,1300,1
3,1,20120306,2,1300,1
1,91,20140729,3,1300,1
3,4,20130423,3,1300,1
3,2,20130912,3,1300,1
3,1,20121004,3,1300,1
3,1,20140729,4,1300,1
3,1,20130123,4,1300,1
3,1,20120322,5,1300,1
3,1,20120331,6,1300,1
3,1,20140304,6,1300,1
3,1,20120710,6,1300,1
3,3,20120522,8,1300,1
3,1,20140724,10,1300,1
1,74,20180201,1,1301,1
1,61,20120806,2,1301,1
1,61,20130624,2,1301,1
1,74,20170919,2,1301,1
1,61,20150915,2,1301,1
1,61,20130115,2,1301,1
1,74,20160607,3,1301,1
1,74,20130715,4,1301,1
3,1,20130903,4,1301,1
1,74,20180111,4,1301,1
1,74,20171013,4,1301,1
1,74,20171017,4,1301,1
1,20,20171128,4,1301,1
1,74,20161209,4,1301,1
1,74,20161207,4,1301,1
1,74,20180102,4,1301,1
1,20,20171214,4,1301,1
1,61,20130227,2,1303,1
1,61,20120927,2,1303,1
3,1,20120503,2,1303,1
3,1,20120516,2,1303,1
3,1,20170125,2,1303,1
1,74,20120116,2,1303,1
1,74,20180216,3,1303,1
3,1,20120922,3,1303,1
3,1,20150105,3,1303,1
3,1,20171201,3,1303,1
3,1,20171222,3,1303,1
3,2,20120511,3,1303,1
3,1,20141217,3,1303,1
3,1,20150120,3,1303,1
3,1,20150107,3,1303,2
3,1,20140329,3,1303,1
3,1,20171214,3,1303,1
1,20,20180112,3,1303,1
3,1,20180123,3,1303,1
3,1,20141112,3,1303,1
3,1,20120629,3,1303,1
3,1,20180119,3,1303,1
3,1,20171128,3,1303,1
3,1,20180117,4,1303,1
3,1,20171121,4,1303,2
3,1,20171127,4,1303,1
3,1,20120503,4,1303,1
1,74,20121031,4,1303,1
3,1,20120420,4,1303,2
3,2,20180110,4,1303,1
1,74,20180227,4,1303,1
3,1,20180105,4,1303,1
3,1,,4,1303,1
3,2,20140408,4,1303,1
3,1,20120504,4,1303,1
3,3,20170112,4,1303,1
1,65,20180216,4,1303,1
