depto,ciudad,fecha,demografia,vendedor,cantidad
2,65,20130411,2,102,1
1,32,20141017,2,102,1
1,50,20131122,2,102,1
1,51,20150324,2,102,1
2,33,20131017,2,102,1
2,33,20131108,2,102,1
2,33,20130914,2,102,1
1,41,20130306,2,102,1
1,41,20130430,2,102,1
1,53,20131220,2,102,1
1,81,20121001,2,102,1
2,30,20130618,2,102,1
2,33,20130212,2,102,1
2,29,20120503,2,102,1
2,29,20121108,2,102,1
2,29,20120726,2,102,1
2,29,20120117,2,102,1
2,29,20130919,2,102,1
2,29,20130419,2,102,2
2,29,20140609,2,102,1
2,29,20120924,2,102,1
1,63,20130515,2,102,1
1,57,,2,102,1
2,33,20120910,2,102,1
2,29,20130911,2,102,1
2,12,20121109,2,102,1
2,12,20120731,2,102,1
2,28,20140731,2,102,1
2,29,20131026,2,102,1
2,29,20130502,2,102,1
2,29,20140428,2,102,1
1,41,20130930,2,102,1
1,40,20141119,2,102,1
1,42,,2,102,4
1,42,20140613,2,102,1
1,42,20140428,2,102,1
1,54,20141018,2,102,1
1,81,20130904,2,102,1
1,81,20121120,2,102,1
1,81,20130109,2,102,1
1,81,20140102,2,102,1
1,50,20131218,2,102,1
1,60,20140901,2,102,1
2,33,20131008,2,102,1
2,33,20130418,2,102,1
1,42,20140805,2,102,1
1,63,20130725,2,102,2
1,63,20140707,2,102,1
2,29,20120524,2,102,1
2,29,20130205,2,102,1
2,29,20131023,2,102,1
2,11,20120612,2,102,1
2,12,20121120,2,102,1
1,58,20130204,2,102,1
1,26,20140825,2,102,1
2,29,20130418,2,102,1
2,28,20130416,2,102,3
2,29,20120612,2,102,1
2,29,20131008,2,102,3
2,29,20140822,2,102,1
2,28,20131118,2,102,2
2,65,,2,102,1
1,42,20130319,2,102,1
1,43,20130211,2,102,1
2,30,20130711,2,102,1
2,30,20140908,2,102,1
1,81,20130731,2,102,1
1,81,20130316,2,102,1
2,65,20120810,2,102,1
1,81,20130813,2,102,1
1,81,20140916,2,102,1
1,39,20131106,2,102,1
1,41,20150702,2,102,1
2,33,20130422,2,102,1
1,81,20121123,2,102,1
1,81,20121003,2,102,1
2,30,20120626,2,102,2
2,33,20121123,2,102,1
2,33,20130621,2,102,1
2,29,20131001,2,102,1
2,29,20131012,2,102,1
2,29,20140714,2,102,1
2,29,20140725,2,102,2
2,29,20150127,2,102,2
2,29,20131230,2,102,1
2,29,20140605,2,102,1
2,29,20121026,2,102,1
2,29,20130301,2,102,1
2,10,,2,102,1
2,12,20130620,2,102,3
2,28,20130624,2,102,1
2,28,20151221,2,102,1
2,28,20130320,2,102,1
2,28,20120827,2,102,1
2,28,20121124,2,102,1
2,23,,2,102,1
1,41,20131115,2,102,1
1,41,20140207,2,102,1
2,30,20140723,2,102,1
1,42,20120622,2,102,1
1,42,20120730,2,102,1
1,42,20130718,2,102,1
1,45,20131118,2,102,1
1,54,20130702,2,102,3
2,30,20130617,2,102,1
2,30,20130716,2,102,1
2,32,20140714,2,102,1
2,32,20140710,2,102,1
1,50,20120205,2,102,1
1,81,20131126,2,102,1
2,65,20120518,2,102,1
1,32,20140709,2,102,1
1,32,,2,102,3
1,60,20130709,2,102,2
1,41,20160607,2,102,1
1,50,,2,102,2
1,41,20130214,2,102,1
2,33,20130409,2,102,2
2,33,,2,102,9
1,41,20120308,2,102,1
1,42,20140429,2,102,1
1,42,20130909,2,102,1
1,63,20131011,2,102,1
1,63,20140610,2,102,2
2,29,20130225,2,102,1
2,29,20121101,2,102,1
2,29,20131219,2,102,1
2,29,20140804,2,102,1
2,29,20130129,2,102,1
1,81,20130412,2,102,1
2,11,20120731,2,102,1
2,28,20140317,2,102,1
2,28,20130601,2,102,2
2,28,20140117,2,102,1
2,28,20121102,2,102,1
1,41,20130708,2,102,1
2,30,20140505,2,102,1
