1;VALLE
2;CAUCA
3;RISARALDA
4;QUINDIO
5;NARI?O
6;CALDAS
7;CHOCO
8;CUNDINAMARCA
9;ANTIOQUIA
10;TOLIMA
11;ATLANTICO
12;SANTANDER
13;HUILA
14;META
