fecha,plan,sede,dpto,ciudad,vendedor,cantidad
20120125,144,3,1,67,3737,3
20120130,144,3,1,67,939,1
20120214,144,3,1,67,3529,1
20120215,144,3,1,67,3737,1
20120225,144,3,1,67,3750,2
20120225,144,3,1,67,939,1
20120222,144,3,1,67,3771,1
20120403,144,3,1,67,3693,1
20120510,144,3,1,41,3771,1
20120528,144,3,1,67,3529,1
20120704,144,3,1,67,3693,1
20120702,144,3,1,67,939,1
20120720,144,3,1,67,3693,1
20130124,153,3,1,41,3831,3
20130124,153,3,1,41,3798,3
20130201,153,3,1,87,3725,3
20120111,143,3,1,67,3655,1
20120207,143,3,1,41,3752,1
20120206,143,3,1,73,3673,2
20120207,143,3,1,67,3529,1
20120209,143,3,1,67,3693,1
20120207,143,3,1,87,3693,1
20120208,143,3,1,67,3771,1
20120207,143,3,1,67,1949,3
20120210,143,3,1,67,3737,2
20120121,143,3,1,67,3753,1
20120203,143,3,1,67,3752,2
20120310,143,3,1,70,3529,1
20120305,143,3,1,67,3632,1
20120213,143,3,1,67,3529,1
20120215,143,3,1,67,3673,1
20120215,143,3,1,87,3655,1
20120221,143,3,1,67,939,2
20120531,143,3,1,41,3673,3
20120530,143,3,1,67,1997,1
20120309,143,3,1,41,1997,1
20120316,143,3,1,67,3776,1
20120320,143,3,1,67,3752,1
20120321,143,3,1,87,1949,2
20120323,143,3,1,70,1997,1
20120322,143,3,1,67,939,2
20120604,143,3,1,67,3693,3
20120605,143,3,1,41,1997,1
20120612,143,3,1,67,1997,1
20120615,143,3,1,67,3693,3
20120614,143,3,1,75,3529,1
20120614,143,3,1,70,3529,1
20120612,143,3,1,77,3529,2
20120328,143,3,1,70,939,1
20120403,143,3,1,67,3752,1
20120402,143,3,1,79,3693,1
20120404,143,3,1,67,3693,1
20120403,143,3,1,67,3693,1
20120412,143,3,1,41,1997,1
20120412,143,3,1,67,1949,3
20120412,143,3,1,67,3632,1
20120331,143,3,1,67,3632,1
20120419,143,3,1,67,1949,2
20120430,143,3,1,67,3771,1
20120428,143,3,1,87,1997,1
20120421,143,3,1,64,3529,1
20120505,143,3,1,64,3529,1
20120503,143,3,1,70,3771,1
20120510,143,3,1,67,3752,1
20120510,143,3,1,77,3673,1
20120508,143,3,1,67,1997,2
20120511,143,3,1,67,1997,2
20120516,143,3,1,67,1997,3
20120516,143,3,1,88,3771,1
20120517,143,3,1,67,3771,1
20120630,143,3,1,67,3673,3
20120528,143,3,1,67,3632,3
20120523,143,3,1,67,939,3
20120804,143,3,1,67,3673,1
20120803,143,3,1,73,3802,1
20120809,143,3,1,67,3693,1
20120620,143,3,1,41,3693,1
20120620,143,3,1,67,3673,2
20120622,143,3,1,83,1997,1
20120629,143,3,1,67,1997,7
20120624,143,3,1,41,1997,1
20120706,143,3,1,67,1997,3
20120706,143,3,1,86,3529,1
20120706,143,3,1,77,939,2
20120713,143,3,1,75,3673,1
20120718,143,3,1,75,3673,1
20120719,143,3,1,67,3673,1
20120720,143,3,1,67,1997,3
20120727,143,3,1,67,3529,1
20120724,143,3,1,77,3529,1
20120726,143,3,1,77,3693,4
20120723,143,3,1,41,3799,1
20120724,143,3,1,86,3673,2
20121005,143,3,1,41,1997,1
20121001,143,3,1,68,3798,6
20121003,143,3,1,87,3673,1
20121002,143,3,1,75,3673,2
20121001,143,3,1,68,3799,2
20121002,143,3,1,53,3798,1
20121004,143,3,1,67,3693,2
20121010,143,3,1,67,3693,1
20121011,143,3,1,83,3673,1
20121010,143,3,1,67,3737,2
20120816,143,3,1,67,3673,1
20120813,143,3,1,71,3802,3
20121011,143,3,1,53,3815,1
20120817,143,3,1,67,939,2
20120815,143,3,1,67,3529,1
20120824,143,3,1,67,3693,4
20120824,143,3,1,89,3725,2
20120823,143,3,1,70,3693,1
20120823,143,3,1,67,3799,1
20120829,143,3,1,67,3725,5
20120830,143,3,1,89,3725,3
20120828,143,3,1,64,3693,1
20120829,143,3,1,67,3673,2
20120830,143,3,1,67,3673,3
20120901,143,3,1,67,3737,1
20120830,143,3,1,67,3529,4
20120830,143,3,1,67,3802,3
20120905,143,3,1,67,1997,1
20120912,143,3,1,83,1997,1
20120912,143,3,1,67,1997,2
20120911,143,3,1,87,1997,1
20120912,143,3,1,67,3673,2
20120912,143,3,1,41,3529,1
20120916,143,3,1,70,939,1
20120920,143,3,1,67,3725,1
20120920,143,3,1,76,3673,1
20120920,143,3,1,67,939,1
20120919,143,3,1,71,939,2
20120928,143,3,1,67,3673,1
20120925,143,3,1,76,3737,3
20120926,143,3,1,67,3801,1
20121105,143,3,1,71,3737,1
20121019,143,3,1,70,3529,1
20121018,143,3,1,67,3673,1
20121021,143,3,1,67,939,3
20121026,143,3,1,67,3737,4
20121026,143,3,1,67,3798,3
20121026,143,3,1,76,3799,2
20121025,143,3,1,67,3725,2
20121026,143,3,1,71,3693,1
20121026,143,3,1,67,939,2
20121026,143,3,1,76,3529,1
20121030,143,3,1,67,3693,1
20121029,143,3,1,67,939,1
20121109,143,3,1,67,3529,1
20121109,143,3,1,67,3693,1
20121107,143,3,1,78,3725,2
20121107,143,3,1,78,3673,3
20121106,143,3,1,41,3799,1
20121115,143,3,1,67,1997,1
20121120,143,3,1,41,3673,5
20121118,143,3,1,71,3529,1
20121128,143,3,1,67,3725,8
20121202,143,3,1,67,3725,1
20121206,143,3,1,67,3725,1
20121204,143,3,1,76,3725,2
20121204,143,3,1,41,3801,1
20121213,143,3,1,67,3801,1
20121212,143,3,1,41,3798,2
20121217,143,3,1,67,1911,1
20130104,143,3,1,67,3737,1
20130108,143,3,1,67,3693,2
20130108,143,3,1,67,3673,1
20130118,143,3,1,67,3725,2
20130115,143,3,1,64,3737,1
20130115,143,3,1,73,3673,2
20130116,143,3,1,67,1997,1
20130118,143,3,1,41,3529,2
20130126,143,3,1,69,3529,2
20130126,143,3,1,69,1997,3
20130121,143,3,1,89,3725,1
20130125,143,3,1,67,939,3
20130124,143,3,1,67,939,1
20130201,143,3,1,87,3826,1
20120113,144,3,1,67,939,1
20120117,144,3,1,67,1949,1
20120210,144,3,1,67,3752,1
20120207,144,3,1,87,1949,2
20120127,144,3,1,67,3655,1
20120213,144,3,1,69,3752,2
20120216,144,3,1,87,1949,1
20120402,144,3,1,67,3771,1
20120409,144,3,1,67,1997,1
20120410,144,3,1,67,3632,1
20120512,144,3,1,71,3752,1
20120717,144,3,1,41,3529,1
20120724,144,3,1,41,939,1
20120910,144,3,1,67,939,1
20120920,144,3,1,89,3725,1
20130114,144,3,1,71,940,1
20130201,153,3,1,67,3737,2
20130130,153,3,1,73,3673,1
20120113,143,3,1,67,3737,1
20120119,143,3,1,67,3529,1
20120120,143,3,1,67,3655,1
20120120,143,3,1,67,1997,1
20120118,143,3,1,67,939,1
20120210,143,3,1,67,3752,1
20120206,143,3,1,67,939,1
20120127,143,3,1,41,3752,1
20120127,143,3,1,76,3673,1
20120126,143,3,1,69,1997,1
20120124,143,3,1,71,3655,1
20120130,143,3,1,67,3693,1
20120202,143,3,1,67,3693,1
20120213,143,3,1,70,3529,1
20120216,143,3,1,67,1997,1
20120216,143,3,1,67,3655,1
20120217,143,3,1,67,3750,1
20120222,143,3,1,67,939,1
20120218,143,3,1,73,3693,1
20120301,143,3,1,78,3655,1
20120301,143,3,1,67,3693,1
20120302,143,3,1,67,3752,2
20120311,143,3,1,67,1949,2
20120316,143,3,1,67,3775,1
20120315,143,3,1,67,3771,1
20120313,143,3,1,67,3771,1
20120323,143,3,1,73,3693,1
20120606,143,3,1,75,939,2
20120612,143,3,1,73,3673,1
20120614,143,3,1,41,3693,1
20120328,143,3,1,67,3673,1
20120327,143,3,1,67,3776,1
20120613,143,3,1,71,939,1
20120404,143,3,1,67,3771,1
20120412,143,3,1,41,3673,1
20120412,143,3,1,64,3529,2
20120412,143,3,1,41,3737,1
20120410,143,3,1,67,939,2
20120418,143,3,1,69,3529,1
20120420,143,3,1,67,1949,2
20120419,143,3,1,67,3632,2
20120426,143,3,1,66,3529,1
20120430,143,3,1,64,3529,1
20120501,143,3,1,70,1949,1
20120515,143,3,1,71,500,1
20120516,143,3,1,77,3771,1
20120524,143,3,1,87,1997,2
20120526,143,3,1,67,3673,3
20120525,143,3,1,73,939,1
20120519,143,3,1,67,939,1
20120528,143,3,1,67,3737,1
20120618,143,3,1,77,3693,1
20120731,143,3,1,67,1911,1
20120730,143,3,1,41,3673,2
20120802,143,3,1,41,3673,1
20120804,143,3,1,64,3529,1
20120802,143,3,1,86,3529,1
20120803,143,3,1,75,939,1
20120809,143,3,1,70,3673,1
20120810,143,3,1,41,3529,1
20120808,143,3,1,41,3798,2
20120810,143,3,1,67,3802,3
20120810,143,3,1,70,939,1
20120619,143,3,1,64,3529,1
20120625,143,3,1,67,3792,2
20120628,143,3,1,67,3529,2
20120624,143,3,1,79,3792,1
20120704,143,3,1,41,1997,1
20120706,143,3,1,41,3529,1
20120706,143,3,1,67,3529,1
20120930,143,3,1,67,3529,1
20120710,143,3,1,67,3693,1
20120709,143,3,1,75,3529,1
20120717,143,3,1,67,3693,2
20120727,143,3,1,41,3798,7
20121005,143,3,1,67,3801,3
20121003,143,3,1,67,1997,1
20121005,143,3,1,78,3725,1
20121012,143,3,1,67,3673,1
20121011,143,3,1,41,3737,1
20121011,143,3,1,41,3816,1
20121010,143,3,1,53,939,1
20120814,143,3,1,64,1997,1
20120815,143,3,1,67,939,3
20120824,143,3,1,67,1997,2
20120823,143,3,1,70,1997,1
20120821,143,3,1,70,3529,1
20120823,143,3,1,67,3693,1
20120824,143,3,1,78,3737,1
20120821,143,3,1,67,3737,1
20120901,143,3,1,67,500,1
20120901,143,3,1,67,3799,1
20120831,143,3,1,67,3693,1
20120829,143,3,1,78,3529,1
20120825,143,3,1,67,3737,2
20120831,143,3,1,67,1997,3
20120830,143,3,1,67,939,2
20120906,143,3,1,76,3529,4
20120907,143,3,1,67,939,1
20120913,143,3,1,67,500,1
20120914,143,3,1,88,3725,5
20120913,143,3,1,76,3673,2
20120930,143,3,1,76,3693,1
20120920,143,3,1,67,3529,1
20120924,143,3,1,67,3693,1
20120928,143,3,1,75,3673,2
20120927,143,3,1,67,3529,1
20120927,143,3,1,67,3737,2
20120926,143,3,1,82,3725,1
20120929,143,3,1,76,1997,1
20120924,143,3,1,88,3725,3
20121017,143,3,1,71,3737,1
20121020,143,3,1,89,3673,1
20121020,143,3,1,67,3815,1
20121016,143,3,1,67,3673,2
20121025,143,3,1,67,3801,1
20121023,143,3,1,75,3529,2
20121026,143,3,1,75,3529,1
20121101,143,3,1,76,3529,2
20121029,143,3,1,67,3693,3
20121030,143,3,1,77,3725,1
20121109,143,3,1,76,3529,4
20121106,143,3,1,41,3798,3
20121109,143,3,1,67,3737,1
20121106,143,3,1,67,939,2
20121115,143,3,1,76,3529,2
20121114,143,3,1,67,939,1
20121114,143,3,1,70,3737,2
20121114,143,3,1,67,3673,1
20121113,143,3,1,71,3673,1
20121115,143,3,1,41,3725,1
20121124,143,3,1,88,3725,2
20121121,143,3,1,67,3725,1
20121120,143,3,1,41,3801,4
20121122,143,3,1,41,3673,2
20121126,143,3,1,67,3693,1
20121130,143,3,1,67,3673,4
20121128,143,3,1,67,3673,5
20121201,143,3,1,58,1997,1
20121204,143,3,1,67,3673,1
20121206,143,3,1,67,3693,1
20121211,143,3,1,64,3529,4
20121211,143,3,1,64,3673,3
20121211,143,3,1,67,939,1
20121212,143,3,1,67,3673,3
20120824,143,3,1,75,3725,1
20130102,143,3,1,67,500,1
20130103,143,3,1,67,3737,2
20121223,143,3,1,67,3693,1
20121227,143,3,1,67,3822,1
20130114,143,3,1,67,3737,2
