fecha,plan,sede,depto,ciudad,vendedor,cantidad
20121003,321,5,4,1,2006,1
20121004,321,5,4,6,2017,2
20121012,321,5,4,6,2006,3
20121012,321,5,4,1,2541,1
20121011,321,5,4,1,2017,1
20121017,321,5,4,1,2559,1
20121016,321,5,4,1,2006,1
20121019,321,5,4,1,2006,1
20121016,321,5,4,1,2164,1
20121019,321,5,4,3,2164,1
20121017,321,5,4,1,2017,2
20120307,143,5,4,5,2298,1
20120313,143,5,4,1,2476,1
20120323,143,5,4,1,2298,1
20120411,143,5,4,1,49,3
20120427,143,5,4,1,2298,1
20120430,143,5,4,5,2298,1
20120502,143,5,4,1,49,6
20120120,143,5,4,1,2298,1
20120119,143,5,4,1,2476,1
20120202,143,5,4,1,49,1
20120208,143,5,4,1,49,2
20120209,143,5,4,1,49,2
20120226,143,5,4,1,2164,1
20120512,143,5,4,5,2298,1
20170623,193,5,4,1,7699,6
20170915,193,5,4,1,2847,1
20171022,193,5,4,1,2847,1
20171220,193,5,4,1,2861,2
20170813,195,5,4,1,2847,1
20180202,203,5,4,1,2861,2
20180207,203,5,4,1,2869,1
20120306,321,5,4,2,2006,3
20120313,321,5,4,5,750,1
20120323,321,5,4,1,750,1
20120321,321,5,4,2,2006,2
20120319,321,5,4,1,2006,1
20120403,321,5,4,2,2524,1
20120410,321,5,4,6,3110,1
20120412,321,5,4,3,3110,4
20120412,321,5,4,1,2017,1
20120415,321,5,4,2,2525,1
20120420,321,5,4,2,2521,1
20120419,321,5,4,2,2006,1
20120420,321,5,4,1,3110,1
20120419,321,5,4,5,2017,1
20120419,321,5,4,2,2017,1
20120425,321,5,4,2,2006,1
20120423,321,5,4,1,2006,1
20120425,321,5,4,2,2525,1
20120427,321,5,4,1,2527,1
20120427,321,5,4,3,2006,2
20120507,321,5,4,1,750,1
20120529,321,5,4,5,3110,1
20120601,321,5,1,78,3110,1
20120530,321,5,4,1,2533,1
20120601,321,5,4,5,2298,1
20120607,321,5,4,2,2006,1
20120605,321,5,4,3,2534,1
20120111,321,5,4,1,3110,6
20120120,321,5,4,5,2504,1
20120116,321,5,4,1,3110,2
20120119,321,5,4,4,2006,1
20120118,321,5,4,1,2505,1
20120121,321,5,4,1,2505,1
20120125,321,5,4,1,2511,2
20120206,321,5,1,78,750,1
20120210,321,5,4,5,750,1
20120215,321,5,4,2,3110,2
20120220,321,5,4,3,2017,1
20120223,321,5,4,1,750,1
20120221,321,5,4,2,2017,1
20120304,321,5,4,6,3110,1
20120706,321,5,4,5,2298,1
20120706,321,5,4,3,2536,1
20120710,321,5,4,1,750,1
20120710,321,5,4,4,2017,7
20120712,321,5,4,1,750,1
20120711,321,5,4,1,2537,1
20120711,321,5,4,3,2536,1
20120711,321,5,4,1,2164,2
20120713,321,5,4,4,2528,2
20120712,321,5,4,4,2528,1
20120713,321,5,4,4,3110,1
20120719,321,5,4,4,2528,3
20120719,321,5,4,1,3110,2
20120715,321,5,4,1,3110,1
20120729,321,5,4,4,750,1
20120726,321,5,4,1,2456,1
20120723,321,5,4,4,2006,3
20120724,321,5,4,3,2536,1
20120724,321,5,4,4,2552,2
20120727,321,5,4,9,2536,1
20120727,321,5,4,1,2017,1
20120724,321,5,4,4,2017,2
20120511,321,5,4,3,2017,1
20120510,321,5,4,1,2017,1
20120508,321,5,1,78,2017,1
20120515,321,5,4,1,2006,1
20120517,321,5,4,2,2529,3
20120515,321,5,4,1,2017,2
20120518,321,5,4,1,2017,2
20120522,321,5,4,1,3110,1
20120523,321,5,1,78,2017,1
20120823,321,5,4,4,2164,4
20120825,321,5,4,1,2552,1
20120823,321,5,4,2,2552,1
20120819,321,5,4,1,2298,1
20120825,321,5,4,4,2541,1
20120821,321,5,4,2,3110,1
20120614,321,5,4,1,2164,3
20120612,321,5,4,3,2006,1
20120612,321,5,4,5,2017,1
20120624,321,5,4,1,49,2
20120622,321,5,4,8,49,1
20120623,321,5,1,91,3110,1
20120621,321,5,4,5,2298,1
20120621,321,5,4,1,2298,1
20120627,321,5,4,1,750,1
20120628,321,5,4,1,49,4
20120628,321,5,4,3,2534,1
20120628,321,5,4,4,2529,1
20120628,321,5,4,1,3110,1
20120630,321,5,4,1,2017,1
20120628,321,5,4,4,2017,1
20120705,321,5,4,1,750,1
20120704,321,5,4,1,2298,1
20120706,321,5,3,2,3110,1
20120706,321,5,4,4,3110,1
20120804,321,5,4,1,3110,1
20120730,321,5,4,9,3110,1
20120802,321,5,4,4,2017,3
20120802,321,5,4,9,2536,1
20120804,321,5,4,1,2164,9
20120806,321,5,4,4,2017,1
20120804,321,5,4,4,2554,1
20120803,321,5,4,4,2552,1
20120811,321,5,4,4,2541,1
20120809,321,5,4,1,2556,2
20120808,321,5,4,1,2298,1
20120812,321,5,4,13,2017,1
20120814,321,5,4,1,2456,1
20120814,321,5,4,5,2164,1
20120901,321,5,4,1,2164,2
20120901,321,5,4,3,2017,1
20120901,321,5,4,1,3110,2
20120904,321,5,4,1,2555,1
20120906,321,5,4,1,2298,1
20120906,321,5,4,1,2006,1
20120909,321,5,4,5,3110,2
20120904,321,5,4,1,2558,1
20120913,321,5,4,1,2561,1
20120912,321,5,4,1,2559,1
20120913,321,5,4,1,2164,4
20120915,321,5,4,4,2552,1
20120916,321,5,4,1,2164,1
20120912,321,5,4,1,2017,3
20120915,321,5,4,1,2565,1
20120911,321,5,4,1,3110,1
20120911,321,5,4,1,2556,2
20120916,321,5,4,1,750,2
20120919,321,5,4,1,2541,1
20120926,321,5,4,1,2006,1
20120928,321,5,4,4,2006,1
20120929,321,5,4,1,2017,1
20120926,321,5,4,1,2563,1
20120926,321,5,4,4,2563,1
20120927,321,5,4,1,2017,1
20121003,321,5,4,1,2564,1
20121003,321,5,4,1,2555,1
20121004,321,5,4,1,2017,1
20121010,321,5,4,5,3110,1
20121012,321,5,4,5,2017,1
20121018,321,5,4,1,2541,1
20121018,321,5,4,6,2017,1
20121027,321,5,4,1,2564,1
20120306,143,5,4,1,49,9
20120323,143,5,1,53,2298,1
20120329,143,5,4,1,49,2
20120413,143,5,4,1,49,3
20120420,143,5,4,1,2164,4
20120502,143,5,4,1,2164,1
20120120,143,5,4,1,2476,1
20120123,143,5,4,1,2476,2
20120127,143,5,4,1,2164,1
20120126,143,5,1,78,49,6
20120209,143,5,4,1,2298,1
20120215,143,5,4,1,2298,2
20120214,143,5,4,1,49,4
20120216,143,5,4,1,49,1
20120222,143,5,4,5,2164,1
20120226,143,5,4,4,2298,1
20120301,143,5,4,1,2298,2
20120411,144,5,4,1,2164,1
20170718,193,5,4,1,2847,2
20170725,193,5,4,1,2848,1
20170815,193,5,4,1,2847,3
20170918,193,5,4,2,2847,1
20171012,193,5,4,1,2847,1
20171110,193,5,4,5,2859,1
20171114,193,5,4,5,750,1
20171126,193,5,4,5,750,1
20171219,193,5,4,1,2861,1
20120402,321,5,4,2,3110,2
20120311,321,5,4,1,2511,1
20120309,321,5,4,2,2006,1
20120314,321,5,4,2,3110,1
20120316,321,5,4,1,2511,2
20120320,321,5,4,4,750,1
20120323,321,5,4,2,2006,2
20120320,321,5,4,2,2006,2
20120323,321,5,4,1,3110,1
20120320,321,5,4,2,2017,2
20120328,321,5,4,1,750,1
20120409,321,5,4,2,2006,1
20120413,321,5,4,6,2527,1
20120411,321,5,4,2,2521,1
20120413,321,5,4,2,2524,2
20120411,321,5,4,8,3110,2
20120418,321,5,4,2,2524,2
20120417,321,5,4,1,2006,2
20120418,321,5,4,3,3110,1
20120420,321,5,4,6,2017,1
20120430,321,5,4,2,2521,1
20120427,321,5,4,2,2525,1
20120422,321,5,4,2,2525,1
20120427,321,5,4,2,2006,1
20120430,321,5,4,2,2525,1
20120430,321,5,4,1,2017,4
20120427,321,5,4,1,2017,1
20120503,321,5,4,4,2017,2
20120529,321,5,4,3,750,1
20120530,321,5,4,1,750,1
20120530,321,5,4,1,2017,3
20120607,321,5,4,1,2006,1
20120605,321,5,4,3,2006,1
20120610,321,5,4,1,2298,1
20120606,321,5,4,1,2006,2
20120607,321,5,4,3,2017,2
20120604,321,5,4,1,3110,1
20120608,321,5,4,5,2528,1
20120608,321,5,4,1,2164,2
20120610,321,5,4,1,3110,1
20120105,321,5,4,1,2006,1
20120111,321,5,4,8,2006,1
20120111,321,5,4,1,2017,1
20120110,321,5,4,4,750,1
20120113,321,5,1,78,750,1
20120120,321,5,1,78,3110,1
20120121,321,5,4,1,2469,1
